0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/property.png HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/arrow-circle.png HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/memory.png HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/clock-select.png HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/solr-ico.png HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/processor.png HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/lucene-ico.png HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:26 +0800] "GET /solr/img/ico/terminal.png HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/tpl/dashboard.html?_=1402249649883 HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/home.png HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/funnel.png HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.menu-top.html&contentType=text/html;charset=utf-8&_=1402249649882 HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.menu-bottom.html&contentType=text/html;charset=utf-8&_=1402249649882 HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/document-import.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/documents-stack.png HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/folder.png HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/block.png HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/magnifier.png HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/node.png HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/book-open-text.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/slash.png HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/clipboard-list.png HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/plus-button.png HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/luke?wt=json&show=index&numTerms=0&_=1402249649903 HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/replication?command=details&wt=json&_=1402249649907 HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/ping?action=status&wt=json&_=1402249649911 HTTP/1.1" 503 229
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.html&_=1402249649910 HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/collection1/admin/system?wt=json&_=1402249649909 HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/chart.png HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/node-master.png HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:29 +0800] "GET /solr/img/ico/tick.png HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:33 +0800] "GET /solr/tpl/query.html?_=1402249653378 HTTP/1.1" 200 13119
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:33 +0800] "GET /solr/img/div.gif HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:33 +0800] "GET /solr/img/ico/minus-button.png HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:34 +0800] "GET /solr/img/ico/ui-address-bar.png HTTP/1.1" 200 349
